,label,statement,speaker,true_score,mostly_true,half_true,mostly_false,false_score,pants_on_fire,source,link,date
0,pants-fire,The Trump administration put secret watermarks on official ballots to trick cheating Democrats.,Facebook posts,{'score': '18 Checks'},{'score': '39 Checks'},{'score': '72 Checks'},{'score': '108 Checks'},{'score': '526 Checks'},{'score': '258 Checks'},"stated on November 4, 2020 in a Facebook post:",https://www.politifact.com/factchecks/2020/nov/06/facebook-posts/did-president-trump-issue-secret-watermarks-ballot/,"ember 6, 2020"
1,false,"“Arizona trooper found 50,000 ballots in dumpster all for President Trump!!”",Facebook posts,{'score': '18 Checks'},{'score': '39 Checks'},{'score': '72 Checks'},{'score': '108 Checks'},{'score': '526 Checks'},{'score': '258 Checks'},"stated on November 5, 2020 in a Facebook post:",https://www.politifact.com/factchecks/2020/nov/06/facebook-posts/no-arizona-troopers-didnt-discover-50k-ballots-tru/,"ember 6, 2020"
2,false,Video showing collection of California ballots on Nov. 4 shows “cheating.”,TikTok posts,{'score': '0 Checks'},{'score': '1 Checks'},{'score': '2 Checks'},{'score': '1 Checks'},{'score': '3 Checks'},{'score': '1 Checks'},"stated on November 5, 2020 in a TikTok video:",https://www.politifact.com/factchecks/2020/nov/06/tiktok-posts/it-wasnt-cheating-calif-collected-ballots-after-st/,"ember 6, 2020"
3,false,"Video shows a poll worker committing voter fraud in Delaware County, Pa.",Facebook posts,{'score': '18 Checks'},{'score': '39 Checks'},{'score': '72 Checks'},{'score': '108 Checks'},{'score': '526 Checks'},{'score': '258 Checks'},"stated on November 5, 2020 in a Facebook post:",https://www.politifact.com/factchecks/2020/nov/06/facebook-posts/pennsylvania-poll-worker-was-copying-information-d/,"ember 6, 2020"
4,mostly-true,"“West Virginia is near last in the U.S.” rankings of education, clean drinking water, and child mortality.",Paula Jean Swearengin,{'score': '0 Checks'},{'score': '1 Checks'},{'score': '0 Checks'},{'score': '0 Checks'},{'score': '0 Checks'},{'score': '0 Checks'},"stated on September 10, 2020 in a tweet:",https://www.politifact.com/factchecks/2020/nov/06/paula-jean-swearengin/does-wva-rank-near-last-education-drinking-water-c/,"ember 6, 2020"
5,false,"“40,000+ votes for Libertarian candidate Jo Jorgensen magically become votes for Joe Biden.”",TikTok posts,{'score': '0 Checks'},{'score': '1 Checks'},{'score': '2 Checks'},{'score': '1 Checks'},{'score': '3 Checks'},{'score': '1 Checks'},"stated on November 5, 2020 in a video posted on TikTok:",https://www.politifact.com/factchecks/2020/nov/05/tiktok-posts/social-media-posts-falsely-claim-40000-votes-jo-jo/,"ember 5, 2020"
6,false,"“118-year-old William Bradley voted via an absentee ballot in Wayne County, Michigan this year. William died in 1984. They’re trying to steal this election.”",Facebook posts,{'score': '18 Checks'},{'score': '39 Checks'},{'score': '72 Checks'},{'score': '108 Checks'},{'score': '526 Checks'},{'score': '258 Checks'},"stated on November 4, 2020 in a Facebook post:",https://www.politifact.com/factchecks/2020/nov/05/facebook-posts/no-dead-voter-named-william-bradley-didnt-vote-det/,"ember 5, 2020"
7,false,Wagon arriving at Detroit counting center after deadline “may have been a ballot box.”,Bloggers,{'score': '8 Checks'},{'score': '18 Checks'},{'score': '22 Checks'},{'score': '41 Checks'},{'score': '154 Checks'},{'score': '357 Checks'},"stated on November 4, 2020 in an article:",https://www.politifact.com/factchecks/2020/nov/05/blog-posting/no-evidence-ballots-were-smuggled-detroit-counting/,"ember 5, 2020"
8,pants-fire,“USPS failed to deliver 27% of mail-in ballots in South Florida”,Bloggers,{'score': '8 Checks'},{'score': '18 Checks'},{'score': '22 Checks'},{'score': '41 Checks'},{'score': '154 Checks'},{'score': '357 Checks'},"stated on November 4, 2020 in a Facebook post:",https://www.politifact.com/factchecks/2020/nov/05/blog-posting/claim-postal-service-failed-deliver-27-mail-ballot/,"ember 5, 2020"
9,false,"Says North Carolina’s ""Democratic Secretary of State"" controls the state's elections.",Social Media,{'score': '0 Checks'},{'score': '1 Checks'},{'score': '0 Checks'},{'score': '1 Checks'},{'score': '2 Checks'},{'score': '2 Checks'},"stated on November 4, 2020 in a tweet:",https://www.politifact.com/factchecks/2020/nov/05/social-media/no-north-carolinas-secretary-state-doesnt-control-/,"ember 5, 2020"
10,pants-fire,"""Seven Milwaukee wards report more 2020 presidential votes than registered voters.”",Facebook posts,{'score': '18 Checks'},{'score': '39 Checks'},{'score': '72 Checks'},{'score': '108 Checks'},{'score': '526 Checks'},{'score': '258 Checks'},"stated on November 4, 2020 in a Facebook post:",https://www.politifact.com/factchecks/2020/nov/05/facebook-posts/milwaukee-wards-did-not-have-more-votes-president-/,"ember 5, 2020"
11,false,Thousands of military ballots were found in the trash in Wisconsin.,Facebook posts,{'score': '18 Checks'},{'score': '39 Checks'},{'score': '72 Checks'},{'score': '108 Checks'},{'score': '526 Checks'},{'score': '258 Checks'},"stated on November 5, 2020 in a Facebook post:",https://www.politifact.com/factchecks/2020/nov/05/facebook-posts/no-thousands-military-ballots-were-not-found-trash/,"ember 5, 2020"
12,false,"More mail-in ballots were counted in Lancaster County, Pa., than were returned.",Viral image,{'score': '3 Checks'},{'score': '8 Checks'},{'score': '22 Checks'},{'score': '38 Checks'},{'score': '290 Checks'},{'score': '187 Checks'},"stated on November 4, 2020 in a Facebook post:",https://www.politifact.com/factchecks/2020/nov/05/viral-image/no-more-mail-ballots-werent-counted-pennsylvania-c/,"ember 5, 2020"
13,pants-fire,Say a video shows “staffers stuffing ballots in flint mi”,Facebook posts,{'score': '18 Checks'},{'score': '39 Checks'},{'score': '72 Checks'},{'score': '108 Checks'},{'score': '526 Checks'},{'score': '258 Checks'},"stated on November 4, 2020 in social media posts:",https://www.politifact.com/factchecks/2020/nov/05/facebook-posts/video-ballot-stuffing-filmed-russia-not-flint-mich/,"ember 5, 2020"
14,false,"“If you were forced to use a Sharpie” to fill out your ballot, “that is voter fraud.”",Facebook posts,{'score': '18 Checks'},{'score': '39 Checks'},{'score': '72 Checks'},{'score': '108 Checks'},{'score': '526 Checks'},{'score': '258 Checks'},"stated on November 4, 2020 in a Facebook post:",https://www.politifact.com/factchecks/2020/nov/05/facebook-posts/despite-sharpiegate-no-evidence-plot-use-pens-canc/,"ember 5, 2020"
15,false,"Detroit has “2,503 dead people registered” including “one voter born in 1823.”",Facebook posts,{'score': '18 Checks'},{'score': '39 Checks'},{'score': '72 Checks'},{'score': '108 Checks'},{'score': '526 Checks'},{'score': '258 Checks'},"stated on November 4, 2020 in a Facebook post:",https://www.politifact.com/factchecks/2020/nov/05/facebook-posts/dead-voters-detroits-voter-rolls-including-person-/,"ember 5, 2020"
16,false,Joe Biden was called for Michigan even though Donald Trump won more votes.,Facebook posts,{'score': '18 Checks'},{'score': '39 Checks'},{'score': '72 Checks'},{'score': '108 Checks'},{'score': '526 Checks'},{'score': '258 Checks'},"stated on November 5, 2020 in a Facebook post:",https://www.politifact.com/factchecks/2020/nov/05/facebook-posts/biden-netted-more-votes-michigan-trump/,"ember 5, 2020"
17,false,“Any votes counted after midnight” on Election Day in Michigan “are fraud.”,Viral image,{'score': '3 Checks'},{'score': '8 Checks'},{'score': '22 Checks'},{'score': '38 Checks'},{'score': '290 Checks'},{'score': '187 Checks'},"stated on November 4, 2020 in a Facebook post:",https://www.politifact.com/factchecks/2020/nov/05/viral-image/no-michigan-ballots-counted-after-election-day-are/,"ember 5, 2020"
18,pants-fire,Wisconsin voter turnout jumped from 67% in 2016 to 89% in 2020.,Donald Trump Jr.,{'score': '0 Checks'},{'score': '1 Checks'},{'score': '0 Checks'},{'score': '1 Checks'},{'score': '5 Checks'},{'score': '5 Checks'},"stated on November 4, 2020 in a Facebook post:",https://www.politifact.com/factchecks/2020/nov/05/donald-trump-jr/no-wisconsin-voter-turnout-did-not-jump-67-2016-89/,"ember 5, 2020"
19,pants-fire,"“Wisconsin took a break, and when they returned, Biden coincidentally came back ahead by 100k.”",Facebook posts,{'score': '18 Checks'},{'score': '39 Checks'},{'score': '72 Checks'},{'score': '108 Checks'},{'score': '526 Checks'},{'score': '258 Checks'},"stated on November 4, 2020 in a Facebook post:",https://www.politifact.com/factchecks/2020/nov/05/facebook-posts/no-wisconsin-did-not-take-break-counting-election-/,"ember 5, 2020"
20,barely-true,"“When large numbers of people in Butler (Pa.) started killing themselves with narcotics, no one in Washington or New York or Los Angeles said a word about it.”",Tucker Carlson,{'score': '0 Checks'},{'score': '1 Checks'},{'score': '1 Checks'},{'score': '4 Checks'},{'score': '2 Checks'},{'score': '4 Checks'},"stated on November 2, 2020 in a Fox News broadcast:",https://www.politifact.com/factchecks/2020/nov/05/tucker-carlson/tucker-carlsons-false-claim-elites-washington-igno/,"ember 5, 2020"
21,pants-fire,"Asks, “How is this possible?” with a chart showing that 104.41% of registered voters in North Carolina and 103.56% of registered voters in Wisconsin cast votes.",Viral image,{'score': '3 Checks'},{'score': '8 Checks'},{'score': '22 Checks'},{'score': '38 Checks'},{'score': '290 Checks'},{'score': '187 Checks'},"stated on November 4, 2020 in a post on Facebook:",https://www.politifact.com/factchecks/2020/nov/05/viral-image/north-carolina-and-wisconsin-did-not-have-more-vot/,"ember 5, 2020"
22,false,A person is on film “burning 80 Trump ballots.”,Eric Trump,{'score': '0 Checks'},{'score': '0 Checks'},{'score': '0 Checks'},{'score': '1 Checks'},{'score': '1 Checks'},{'score': '2 Checks'},"stated on November 4, 2020 in a tweet:",https://www.politifact.com/factchecks/2020/nov/04/eric-trump/eric-trump-retweets-video-falsely-claiming-man-bur/,"ember 4, 2020"
23,false,"“Last night I was leading, often solidly, in many key States, in almost all instances Democrat run & controlled. Then, one by one, they started to magically disappear as surprise ballot dumps were counted.”",Donald Trump,{'score': '35 Checks'},{'score': '84 Checks'},{'score': '119 Checks'},{'score': '186 Checks'},{'score': '331 Checks'},{'score': '149 Checks'},"stated on November 4, 2020 in a tweet:",https://www.politifact.com/factchecks/2020/nov/04/donald-trump/no-president-trump-ballot-dumps-key-states-were-no/,"ember 4, 2020"
24,false,"""Six states can't get the votes counted. Six states in which @realDonaldTrump is leading. Six states where Dems are in charge.""",Facebook posts,{'score': '18 Checks'},{'score': '39 Checks'},{'score': '72 Checks'},{'score': '108 Checks'},{'score': '526 Checks'},{'score': '258 Checks'},"stated on November 4, 2020 in a screenshot:",https://www.politifact.com/factchecks/2020/nov/04/facebook-posts/fact-checking-conspiracy-theory-about-ballot-count/,"ember 4, 2020"
25,false,"“40,000 rejected vote by mail ballots in DeKalb County need to be cured by Friday or they will be tossed.”",Tweets,{'score': '1 Checks'},{'score': '3 Checks'},{'score': '4 Checks'},{'score': '4 Checks'},{'score': '19 Checks'},{'score': '15 Checks'},"stated on November 4, 2020 in a post:",https://www.politifact.com/factchecks/2020/nov/04/tweets/viral-tweet-spreads-false-information-about-mail-b/,"ember 4, 2020"
26,false,"“Now that it’s even, Nevada decides to stop counting and is now not going to count anything until TOMORROW! What?!”",Facebook posts,{'score': '18 Checks'},{'score': '39 Checks'},{'score': '72 Checks'},{'score': '108 Checks'},{'score': '526 Checks'},{'score': '258 Checks'},"stated on November 4, 2020 in a Facebook post:",https://www.politifact.com/factchecks/2020/nov/04/facebook-posts/no-nevada-did-not-stop-counting-ballots/,"ember 4, 2020"
27,false,Early morning election results from Michigan and Wisconsin show voter fraud.,Viral image,{'score': '3 Checks'},{'score': '8 Checks'},{'score': '22 Checks'},{'score': '38 Checks'},{'score': '290 Checks'},{'score': '187 Checks'},"stated on November 4, 2020 in a Facebook post:",https://www.politifact.com/factchecks/2020/nov/04/viral-image/no-these-fivethirtyeight-graphs-dont-prove-voter-f/,"ember 4, 2020"
28,false,“Wisconsin found 112k votes at 3am.”,Facebook posts,{'score': '18 Checks'},{'score': '39 Checks'},{'score': '72 Checks'},{'score': '108 Checks'},{'score': '526 Checks'},{'score': '258 Checks'},"stated on November 4, 2020 in a Facebook post:",https://www.politifact.com/factchecks/2020/nov/04/facebook-posts/social-media-post-falsely-claims-wisconsin-found-1/,"ember 4, 2020"
29,false,“This is the California model spreading across the country. When you need to flip things blue there’s always some mysterious mail-in ballots lying around that’ll do the trick. Shameful!”,Facebook posts,{'score': '18 Checks'},{'score': '39 Checks'},{'score': '72 Checks'},{'score': '108 Checks'},{'score': '526 Checks'},{'score': '258 Checks'},"stated on November 4, 2020 in a Facebook post:",https://www.politifact.com/factchecks/2020/nov/04/facebook-posts/theres-nothing-mysterious-about-californias-mail-v/,"ember 4, 2020"
